label;text
0;Всем привет) мне 25, ищу молодого человека для отношений и общения) люблю готовить, занимаюсь спортом, много читаю) буду рада познакомиться)
0;17.02.21г. в 12.00. Вебинар: Новое поколение потребителей: поколение Z    Первая бизнес-школа клубного типа «БИЗНЕС ИНСАЙТ» приглашает Вас принять участие в вебинаре на тему «Новое поколение потребителей: поколение Z». Вебинар будет интересен руководителям и топ-менеджерам, собственникам компаний (малый и средний бизнес), маркетологам, PR-менеджерам, специалистам из области коммуникаций, директорам по развитию.    Программа вебинара    - Лайфстайл нового поколения  - Новые компетенции и запросы  - 17 целей устойчивого развития как новый социокультурный код между поколениями  - Новые форматы контента  - Особенности подходов и отработки инструментов взаимодействия с этим поколением в инфополе  - Социальные медиа и их роль в коммуникациях с молодежью    Приглашаем принять участие в вебинаре «Новое поколение потребителей, или как поколение Z меняет вселенную». Дети, рожденные в 2003 году, выходят на рынок труда и становятся основными потребителями будущего, а также диктуют новые условия создания и потребления контента.    О спикере    Марина Богомягкова, основатель Медиа Мастерской.    - Эксперт в сфере стратегических и медиакоммуникаций в области устойчивого развития  - Профессиональный модератор и спикер бизнес-мероприятий  - Медиаменеджер и предприниматель    Информация для участников    Дата вебинара: 17 февраля 2021 года  Начало вебинара: в 12.00 (по московскому времени)  Формат мероприятия: онлайн-семинар (вебинар)    Стоимость:  - Для резидентов бизнес-клуба «БИЗНЕС ИНСАЙТ» — бесплатно  - С нерезидентов взимается организационный сбор — 500 рублей    Во время проведения вебинара ведется запись, по окончании мероприятия запись высылается всем зарегистрировавшимся участникам. Даже если Вы зарегистрировались, но не смогли посетить вебинар, то сможете посмотреть его в записи в удобное для Вас время, а потом задать вопросы спикеру.    Регистрация на странице: https://bi-school.ru/170221-vebinar-pokolenie-z/    Бизнес-школа БИЗНЕС ИНСАЙТ  Первая школа бизнеса клубного типа  https://bi-school.ru
1;Приближается новый семестр — время для очередных свершений и анализа проделанной работы.  ⠀  Чтобы оценить уровень качества образования и студенческой жизни, Студенческий союз МИРЭА предлагает пройти небольшой опрос, результаты которого помогут учесть ошибки и сделать обучение более комфортным.  ⠀  Переходите по ссылке https://bit.ly/3rj03bj, заполняйте форму и помните, что ваше мнение — важный шаг на пути к улучшению студенческой жизни!  ⠀  Отправляя заявку, вы выражаете согласие на перевод персональных данных в категорию общедоступных и их передачу по сетям общего пользования.  ⠀  Заполнить форму может любой студент РТУ МИРЭА до 14 февраля включительно.   #students_rtumirea #rtumirea
1;ПРИНИМАЮТСЯ ЗАЯВКИ НА ОБМЕН 🌎   🇷🇺 В соответствии с Соглашением между Правительством РФ и Правительством Японии о создании Российско-Японской комиссии по молодежным обменам от 15 марта 1999 года ежегодно реализуется План российско-японских молодежных обменов. 🇯🇵    Формирование Плана обменов обеспечивает ФГБОУ ВО «МИРЭА — Российский технологический университет», выполняющий функции Координационного бюро российско-японских молодежных обменов.    🗺 В План обменов на 2021 год будут также включены совместные молодежные мероприятия, запланированные в рамках Года российско-японских межрегиональных и побратимских обменов 2020-2021 гг. и направленные на развитие молодежного сотрудничества в рамках партнерства городов (регионов) России и Японии.    ❗ Заявки на включение в План обменов заполняются в режиме онлайн до 18:00 (по мск.) 8 февраля.    Заявки принимаются от организаций, имеющих партнерскую организацию в Японии, и запланировавших совместно с ней реализацию проекта молодежного обмена на 2021 год.    💯 ПОДРОБНЕЕ: https://донмолодой.рф/opportunity/355  #КМПРО #РостовскаяОбласть #МолодежьРО #Россия #Япония #Возможность #МИРЭА
0;М.М.Пришвин Дорога к другу (дневники)    Дневники известного писателя-природоведа, которые знакомят юных читателей с богатством его мироощущения. Взаимосвязь природы, человека и искусства – основная тема дневников.  Рисунки В. Звонцова.    ЕСТЬ У МЕНЯ ДЛЯ МОЛОДЕЖИ СВОЯ СОБСТВЕННАЯ МЫСЛЬ, И Я ЗНАЮ, НЕ БЕЗ ПОЛЬЗЫ ДЛЯ СЕБЯ ОНИ МЕНЯ ПОДЖИДАЮТ.    Мне хочется им сказать, что здоровье человека не в сердце, не в почках, не в корнях, не в листве или в спине. Конечно, слов нет, хорошо человеку, если у него все это тоже здорово, как у быков. Но самая суть чисто человеческого здоровья - это когда его неудержимо тянет сказать что-то хорошее другому человеку, как будто это даже закон: раз мне - то должно и всем хорошо!    Если поблизости нет человека, чтобы вместе порадоваться, то один пишет другому письмо или поет ему песенку.    Источники:    [https://vk.com/wall-5197510?day=04022020&w=wall-5197510_138015%2Fall|М.М.Пришвин Дорога к другу (дневники)]
0;Готовый проект для молодого человека от дизайнера Натальи😍  (Оформление окон + покрывало)
0;На Пролетарской улице, вот уже несколько недель стала появляться собачка в ярком ошейнике. Собачка молодая на вид и явно бывшедомашняя, очень пуглива, при появлении сородичей убегает, к посторонним людям относиться тоже с большой осторожностью! Такой не адаптированный к уличной жизни пёс долго на улице не протянет😫 89065141143 - Екатерина (старому или новому хозяину окажу помощь в поиске и отлове собачки ) https://t.me/dreamisreal37  https://t.me/dreamisreal37
0;36 СПАСИБО  🎁День рождения - замечательный праздник! И неважно восемнадцать тебе или уже два раза по восемнадцать 🤫  🎉День рождения - самое подходящее время, чтобы сказать СПАСИБО!   💖От всей души хочу поблагодарить огромное количество людей, которые сделали этот день суперпозитивным и тысячепроцентно зарядили меня положительными эмоциями на год вперёд!  Спасибо, мамуля!  Спасибо за то, что подарила мне эту прекрасную жизнь, за твои тепло и любовь, заботу, ласку и нежность!  Спасибо папе и брату: помню и люблю, вы всегда в моём ❤️.  Спасибо дорогому мужу за любовь и поддержку 24/7!  Спасибо ненаглядным дочуркам за радость материнства и огромное счастье быть рядом с ними каждый день!  Спасибо родителям мужа за колоссальную помощь и заботу!  Спасибо моей большой и любимой семье Уржумовых за прочные семейные узы вне времени и расстояний и за готовность помочь в любой ситуации!  Спасибо моим дорогим и любимым коллегам за командный дух и непоколебимую веру в позитивное и светлое будущее!  Спасибо за тёплые слова от учеников, как нынешних, так и прошлых, как юных, так и взрослых! Как же у меня вас много! Вы - моя гордость на века!  Огромное спасибо дорогим и любимым родителям учеников! Спасибо всем, кто ценит мой труд! Спасибо всем моим учителям и наставникам, а также бывшим коллегам, ставшим близкими друзьями!  Спасибо моим бывшим ученикам, ставшим молодыми коллегами и преданными друзьями! Спасибо одноклассникам, спасибо друзьям из универа, спасибо моей общажной семье!  Спасибо всем моим старым и новым хорошим знакомым! (Совсем неважно где  пересеклись наши пути, важно, что они пересеклись!)  Спасибо друзьям друзей и просто знакомым! Спасибо интернет-знакомым, спасибо даже незнакомым за внезапные поздравления!  Спасибо Олимпийскому в любом составе!   Спасибо за первые ночные поздравляшки!  Спасибо за бодрое и неожиданное, насыщенное поздравлениями, утро!  Спасибо за прекрасный день нескончаемых звонков, сообщений, посланий, писем и стихов и даже новостей в мой адрес!  Спасибо за тихий, уютный и вкусный семейный вечер!  Спасибо за поздравления на всех моих любимых языках! Спасибо за электронные и голосовые послания, за сообщения на стене, в лс, в вайбер/вотсап и другие мессенждеры!  Спасибо за звонки и за личные встречи и визиты!  Спасибо за приветы из разных уголков мира!  Спасибо за подарки, цветы и конверты!  Спасибо за открытки, видео и музыкальные открытки, смски, сообщения, стикеры и смайлы!  Спасибо за приятные воспоминания и отличное времяпрепровождение!  Спасибо за красивые и трогательные фразы, искренние пожелания и стихи собственного сочинения! Спасибо всем всем всем, особенно тем, если вдруг кого-то забыла..!  Спасибо просто за то, что вы есть!  Большое сердечное и настоящее СПАСИБО!🙏🙏🙏
0;Девочка ищет дом.. Замерзла, оголодала.. Тусит с молодёжью, приютили на ночь. Найдена возлепятерочки  круглосуточной. Хозяин, ждём тебя!!!
1;Уже 18 декабря в 18:30 состоится онлайн-квиз. В рамках которого тебе откроется возможность не только проверить, но и прокачать свои знания по разным направлениям.  Для участия нужно всего лишь: • заполнить форму до 17 декабря 23:59: vk.cc/bVNYHQ • вступить в Telegram-канал мероприятия: t.me/s/kvizRTU.  Собирай команду до шести человек или участвуй сам! Событие пройдёт на YouTube-канале Студенческого союза МИРЭА. Подписывайся, чтобы не пропустить: vk.cc/atWwHu.  Если остались вопросы, можешь обращаться к [id104708505|Ивану Тихонову].  #sumirea
